#    1:k (h/Mpc)              2:d_g                    3:d_b                    4:d_cdm                  5:d_ur                   6:d_tot                  7:phi                    8:psi                
       1.068988141533e+00       9.606572819445e-04      -4.345532041702e+04      -4.367423287942e+04       9.784877020341e-04      -4.362673211649e+04       1.973531232484e-03       1.973531232484e-03 
       1.315162513750e+00       6.823283443540e-04      -4.671705080572e+04      -4.695245073890e+04       6.949926383705e-04      -4.690137572091e+04       1.401728276192e-03       1.401728276192e-03 
       1.652858375311e+00       4.656871413171e-04      -5.035927308656e+04      -5.061318580532e+04       4.743303086930e-04      -5.055810342574e+04       9.566577280185e-04       9.566577280185e-04 
       2.080770908345e+00       3.154995960183e-04      -5.407005594052e+04      -5.434299635004e+04       3.213552139884e-04      -5.428380481109e+04       6.481251009344e-04       6.481251009344e-04 
       2.619535166754e+00       2.128658794710e-04      -5.781611853446e+04      -5.810854612261e+04       2.168165018395e-04      -5.804516222525e+04       4.372750103196e-04       4.372750103196e-04 
       3.297799388405e+00       1.430985584422e-04      -6.159125534650e+04      -6.190379217721e+04       1.457540236513e-04      -6.183610879905e+04       2.939211120176e-04       2.939211120176e-04 
       4.151683453062e+00       9.582582996646e-05      -6.539224200871e+04      -6.572579868676e+04       9.760463471344e-05      -6.565366394783e+04       1.969008528784e-04       1.969008528784e-04 
       5.226659800785e+00       6.400603962437e-05      -6.921108359459e+04      -6.956706977124e+04       6.519395121275e-05      -6.949025509451e+04       1.314959979510e-04       1.314959979510e-04 
       6.579974842011e+00       4.263542127125e-05      -7.304481908010e+04      -7.342548148196e+04       4.342647795875e-05      -7.334362655949e+04       8.756912491080e-05       8.756912491080e-05 
       8.283697537574e+00       2.831829120846e-05      -7.688991292336e+04      -7.729890573092e+04       2.884368081012e-05      -7.721142833734e+04       5.816613621283e-05       5.816613621283e-05 
       1.042855733367e+01       1.876382082716e-05      -8.074142421320e+04      -8.118472858007e+04       1.911191683924e-05      -8.109067932230e+04       3.854424720994e-05       3.854424720994e-05 
       1.312877583571e+01       1.240832105581e-05      -8.459082946216e+04      -8.507824716445e+04       1.263842510390e-05      -8.497607392362e+04       2.548503834157e-05       2.548503834157e-05 
       1.652814952532e+01       8.189517132092e-06      -8.842926689512e+04      -8.897691217066e+04       8.341290546108e-06      -8.886406545920e+04       1.681569445042e-05       1.681569445042e-05 
       2.080770744736e+01       5.395646934400e-06      -9.224260643434e+04      -9.287692974418e+04       5.495539070380e-06      -9.274922683949e+04       1.107385741812e-05       1.107385741812e-05 
       2.619535166666e+01       3.548884336879e-06      -9.601021531859e+04      -9.677455497247e+04       3.614485561225e-06      -9.662514396519e+04       7.279118397995e-06       7.279118397995e-06 
       3.297799388405e+01       2.330973531632e-06      -9.969601475526e+04      -1.006612622382e+05       2.373953730872e-06      -1.004789370508e+05       4.775992779246e-06       4.775992779246e-06 
